Municipality,Agriculture,CommercialServices,Domestic,Industry,PublicBuildings,PublicLighting,Total
Abrantes,4638706,31680570,45221203,84515268,4072359,6536163,178529895
Agueda,11557184,26524906,56149502,162977163,2986665,7050741,267303585
Aguiar da Beira,2571587,3981527,6341909,2989995,608271,1656357,18149646
Alandroal,1785108,4141760,8077295,2765635,530601,276046,17576445
Albergaria-a-Velha,1292465,16263162,28594935,123542872,1837562,3144899,174675895
Albufeira,5985034,145774989,104196891,15998300,5751557,8153955,285860726
Alcacer do Sal,8516347,25543207,18391307,25067158,1843747,1707026,81115775
Alcanena,4254117,19384489,16794162,29386303,1661406,2572602,74053465
Alcobaca,16010019,51100193,77041897,135603594,5133420,5036173,289925296
Alcochete,5044274,28414290,25308789,15369564,4156333,1850955,80144205
Alcoutim,142992,1283059,3894169,456165,935001,969804,7681190
Alenquer,4911636,52412137,51590255,110409579,5514336,3469463,228307406
Alfandega da Fe,183302,2673812,5988748,623552,750963,1410404,11630781
Alijo,1197471,5681571,12745947,7906404,1298567,2251581,31081541
Aljezur,1516884,5487561,12783772,1032182,1039518,1232560,23092477
Aljustrel,5731508,7654594,11719613,189162146,1355728,594043,216217632
Almada,705901,141725997,222836754,61150081,35686836,14264726,484008964
Almeida,364244,4656419,7974623,815405,1477885,2418951,17707527
Almeirim,8463904,15080174,29903798,17038469,2537143,1327958,74351446
Almodovar,287253,4756150,9248962,1616280,1058653,1239766,18207064
Alpiarca,5956717,4240647,9762767,23183399,1059131,381223,44583884
Alter do Chao,2078818,2509391,4723948,573846,757721,630358,11274082
Alvaiazere,223242,3188607,8049775,1146559,810308,1738996,15157487
Alvito,888202,1496276,3252808,5156462,475409,345636,11614793
Amadora,372512,140263428,160565077,112701535,14785186,16896774,481819024
Amarante,1740007,26309347,63170260,19693449,5692436,4534554,121140053
Amares,2047380,9271236,22039839,6973138,2081723,2588454,45001770
Anadia,3682379,16781030,36412885,60214027,5821148,4938157,127849626
Angra do Heroismo,1386663,40439004,38748403,25224392,3343772,1943268,111085502
Ansiao,662554,6345886,13575370,13131800,1333617,2693416,37742643
Arcos de Valdevez,1193982,12248888,26329808,66717636,2375311,3512511,112378136
Arganil,1104153,17101801,13486673,17847441,3486716,2704542,55731326
Armamar,2457738,10557335,6945786,3438641,729783,1363336,25492619
Arouca,1220947,8259456,24999285,13157469,1692892,3270664,52600713
Arraiolos,6036244,4283144,11317347,3160832,873703,591111,26262381
Arronches,1151980,1564674,4267319,534928,1202856,757649,9479406
Arruda dos Vinhos,2044631,10151814,18862266,4436913,1099623,651325,37246572
Aveiro,3492741,101719644,99651972,491542464,18965976,8554556,723963602
Avis,7626417,4246721,5754722,20955442,839543,873245,40296090
Azambuja,7042313,69311637,28288561,45368540,3643269,1680102,155334422
Baiao,386386,6671901,21415470,3619322,1417108,2196403,35706590
Barcelos,5161030,83633361,145645959,163974449,5969507,14178425,418562731
Barrancos,33285,633923,1834957,1804938,218910,170591,4696604
Barreiro,2349052,49782452,80385197,63228633,9140221,3798452,209536127
Batalha,2144676,25048293,21118351,30092789,1142595,1969677,81516381
Beja,25626419,36304343,43971952,37139733,11183690,2489963,156716100
Belmonte,364406,2747647,8258455,1748418,1099226,529042,14747194
Benavente,17597775,30573481,39895258,48536227,4512992,2084572,143200305
Bombarral,6987037,20342760,18159487,3542925,938078,680673,50650960
Borba,1887093,4467739,10157848,5000684,616248,409926,22539538
Boticas,23401,2076233,5697199,6941321,1442893,1731553,17912600
Braga,2018776,227325528,226732814,178479467,12516676,15659210,662732471
Braganca,573166,33970107,49839920,17955477,7418398,6409315,116166383
Cabeceiras de Basto,215018,7185227,17191504,4213403,2267262,1337327,32409741
Cadaval,3848867,15908439,18908278,6677855,1331864,1459197,48134500
Caldas da Rainha,5913472,49227241,73091174,38033297,7342192,3071787,176679163
Calheta Açores,55875,2259773,4178737,3023977,361575,568422,10448359
Calheta Madeira,280589,8856722,15223008,1643396,1757177,6229408,33990300
Camara de Lobos,1022076,12878196,30223685,12207294,1536522,8395365,66263138
Caminha,903865,11014192,27738395,3629051,1911697,3131702,48328902
Campo Maior,6404566,6019606,13094009,21829364,1152740,1035589,49535874
Cantanhede,14309184,26992453,43418930,98589446,2428161,6305766,192043940
Carrazeda de Ansiaes,622480,3621518,7079949,968472,1215955,1361262,14869636
Carregal do Sal,2067676,4492430,10725694,7698441,936006,1582295,27502542
Cartaxo,7786697,18034933,33130451,37742597,2377041,1555189,100626908
Cascais,1287485,213699368,319723336,41021846,14345736,24151265,621153300
Castanheira de Pera,35741,1917116,3289530,2623149,445394,893430,9204360
Castelo Branco,2658158,46612490,74290799,39828522,11419458,10326301,185138559
Castelo de Paiva,193880,6867852,16970716,15013612,1211544,3182198,43439802
Castelo de Vide,273563,3015048,4813777,5270633,947646,952768,15273435
Castro Daire,579371,7673158,15728952,4124648,2832126,3370372,34308627
Castro Marim,1052637,7312943,14037433,14342651,1596038,1930046,40271748
Castro Verde,1613688,3893924,10262830,261902670,1351464,1316623,280341199
Celorico da Beira,773257,3906355,7697231,2572454,939340,2194281,18082918
Celorico de Basto,156712,5389724,19056548,15067064,1457364,2952805,44080217
Chamusca,7781940,6570406,11530645,27502756,951902,1469128,55806777
Chaves,1571516,29477087,49744294,21698810,5432330,7330822,115254859
Cinfaes,144538,5541402,20298059,2860597,1571647,3666960,34083203
Coimbra,2147035,177213235,189297969,202725545,52777056,17415342,641859588
Condeixa-a-Nova,372165,7759073,18893698,16213060,2028198,1849603,47115797
Constancia,930717,1535573,4999471,89762674,4465487,1245855,102939777
Coruche,9598486,9850997,24447731,47439940,2235522,1852692,101735487
Corvo,126221,598870,677025,32079,37562,46206,1517963
Covilha,1607746,59923596,66222764,52787692,4029635,9089748,193695283
Crato,806437,1754200,6095063,979898,1057245,849450,11542293
Cuba,2123563,2228286,5961926,5130498,835802,328369,16608444
Elvas,9947271,17127282,30248301,5689978,5085802,4825918,72924552
Entroncamento,189312,12776880,22976665,5807838,2121209,1783904,71752901
Espinho,216786,22452970,41001285,17607870,2901491,2485982,86675098
Esposende,2240855,22816310,50003711,28749139,1526245,4413171,109749431
Estarreja,854171,15578735,31327051,548426706,1929833,3748022,626096160
Estremoz,3042821,14106138,18067976,5963353,3434625,662982,45277895
Evora,8541318,70383377,86603112,85175214,8396219,2948708,262069024
Fafe,202751,26443307,57205173,42821298,2809324,6113308,135595161
Faro,4978552,111279436,98544137,16375344,10025160,7474020,248678537
Felgueiras,1822122,31126675,66677396,62142086,5342740,5621044,172732063
Ferreira do Alentejo,18442267,8489056,10323590,15139647,1781197,940002,55115759
Ferreira do Zezere,10599563,4583200,11983048,13470069,893807,1376751,42906438
Figueira da Foz,5762161,70390144,78732034,1211826060,4385769,9096839,1380270307
Figueira de Castelo Rodrigo,708759,2956657,6484065,1439491,800722,1898775,14288469
Figueiro dos Vinhos,58301,2453983,6664081,1080739,1982670,1754587,13994361
Fornos de Algodres,409593,2852552,4748376,1499817,552956,1248418,11311712
Freixo de Espada a Cinta,173656,1463130,4511892,1670600,947776,620378,9387432
Fronteira,1969474,1660109,4617795,231493,879227,915006,10273104
Funchal,379013,184358876,114055892,12924605,20789628,16238974,348746988
Fundao,5714647,22854231,38635504,14455686,3841575,6140072,91647294
Gaviao,202551,1865194,4614813,1604681,829631,907521,10024391
Gois,77512,1790559,4865262,534104,1202281,1701580,10171298
Golega,8079176,3467613,8724460,5336128,2141619,607448,28356444
Gondomar,4587243,81829044,208148490,70682816,6421208,13192946,384861747
Gouveia,423012,6776647,14271683,5099613,1807265,3158898,31537118
Grandola,4836201,22003859,27948368,8456280,3133973,2782369,69161050
Guarda,1267592,45200729,48960323,59533970,6283002,7081861,170782307
Guimaraes,2624038,148911880,203458544,322594301,7455178,12745006,697788947
Horta,323457,16023628,17519698,5233918,1933941,1562947,42597589
Idanha-a-Nova,4293129,5754880,12845032,1158241,2963948,3278266,30293496
Ilhavo,15547047,33060822,49383645,116491842,3826106,4583067,222892529
Lagoa,2247932,44901899,60647578,7174105,4737136,4237747,123946397
Lagoa [R.A.A.],1941063,10721070,14289723,9574459,355822,1619888,38502025
Lagos,4256116,47224276,71211959,13016891,4805556,4874975,145409339
Lajes das Flores,22450,2880460,2598989,410255,549141,334989,6796284
Lajes do Pico,46205,2889434,5469080,2691004,225281,926604,12247608
Lamego,2122256,22225968,28105244,15944318,3585097,4528953,76511836
Leiria,18916689,132616926,172862691,286087426,11397708,14142019,636023459
Lisboa,6524942,1451768470,719816976,145139860,156488932,53517099,2693919872
Loule,9975324,156690528,205377696,68988238,9865480,13330660,464227926
Loures,12199629,247797844,210893558,236203848,11095951,18995364,737191660
Lourinha,6294810,18219910,38327760,13371156,1512193,2312144,80037973
Lousa,577567,8422633,20860380,19018428,2170220,1967855,53017083
Lousada,778244,22087923,54165663,24220513,2244569,2302370,105811413
Macao,433820,6238921,9005708,5754638,1197258,2377555,25007900
Macedo de Cavaleiros,1009088,8972505,18423492,6641615,3663241,3841572,42551513
Machico,343701,17450842,20912248,11309047,1975271,7733466,59724575
Madalena,110743,6917128,7946458,2445723,1086140,756317,19262509
Mafra,3888503,77574283,119135072,45513452,6685033,9246513,262047314
Maia,9474793,178898511,184571089,929548941,9209390,14780444,1351482496
Mangualde,1134191,12718449,23889747,105557304,4998780,4380306,156062092
Manteigas,5116,2940283,3651386,356778,467959,933595,8355117
Marco de Canaveses,2555846,23653775,65670784,38286592,3683027,6926068,140790160
Marinha Grande,209557,31652135,52647977,396356948,5364939,3422878,489654434
Marvao,301074,2046472,4676010,2763056,654231,948528,11389371
Matosinhos,7703180,272205001,233001445,285496474,14837075,17134551,830377726
Mealhada,1983870,15105570,22845178,55639145,2494830,2631543,100722395
Meda,204187,2798001,6014699,1178371,874325,1720821,12790404
Melgaco,76151,4029597,11550236,2766233,1768513,1700812,21891542
