,Power (kW),Temperature (C),Relative Humidity (%),Wind Speed (km/s),Wind Gust (km/s),Pressure (mbar),Solar Radiation (W/m2),Rain (mm/h)
01/01/2022 00:00,4564.1,10.5,71,17.4,27.7,958.4,0,0
01/01/2022 01:00,4390,10.2,70,17,29.5,958,0,0
01/01/2022 02:00,4095.9,9.9,70,16.6,29.2,958,0,0
01/01/2022 03:00,3861.7,9.7,69,17.3,29.5,957.8,0,0
01/01/2022 04:00,3723.5,9.6,68,18,31.3,957.5,0,0
01/01/2022 05:00,3664.3,9.3,68,18.1,31.3,957.2,0,0
01/01/2022 06:00,3673,9.2,68,17.5,31.3,956.9,0,0
01/01/2022 07:00,3627.7,9,67,17.4,30.6,957.3,0,0
01/01/2022 08:00,3615.5,8.8,67,16.9,30.2,957.6,0,0
01/01/2022 09:00,3914.1,9.7,66,17.8,31,958.4,27,0
01/01/2022 10:00,4286.2,11.4,69,19.4,31.7,959.1,143,0
01/01/2022 11:00,4652.9,13.1,62,17.8,32.8,959.6,259,0
01/01/2022 12:00,4881.3,14.1,60,17,32.8,960,270,0
01/01/2022 13:00,4651.4,14.9,58,15.5,31,959.4,314,0
01/01/2022 14:00,4413.2,15.1,58,14.8,29.9,958.7,205,0
01/01/2022 15:00,4324.3,14.9,62,12.7,27.7,958.3,95,0
01/01/2022 16:00,4390.2,14.4,67,10.5,22.7,958.5,96,0
01/01/2022 17:00,4867.2,12.8,73,9.7,18.4,958.5,39,0
01/01/2022 18:00,5326.6,11.4,75,11.2,18.4,958.3,0,0
01/01/2022 19:00,5482.1,11,74,10.9,18.7,958.5,0,0
01/01/2022 20:00,5505.7,10.6,73,10.9,19.1,958.7,0,0
01/01/2022 21:00,5285.7,10,76,10.2,18,958.9,0,0
01/01/2022 22:00,5008.6,9.4,79,8.1,16.6,959,0,0
01/01/2022 23:00,4653.6,9,81,6.6,13.3,959.2,0,0
02/01/2022 00:00,4282.8,8,84,6.2,10.1,959.1,0,0
02/01/2022 01:00,3980.1,8.4,83,5.1,8.3,959.1,0,0
02/01/2022 02:00,3759.6,7.9,86,5.4,7.6,959.1,0,0
02/01/2022 03:00,3649.4,7.9,87,5.2,7.2,959.4,0,0
02/01/2022 04:00,3602.1,7.9,87,4.5,6.8,959.3,0,0
02/01/2022 05:00,3622.4,8,87,4.7,6.5,959.3,0,0
02/01/2022 06:00,3733.1,8.3,84,4.8,7.2,959.3,0,0
02/01/2022 07:00,3806.7,8.4,85,5.9,9.7,959.8,0,0
02/01/2022 08:00,3979.5,8.2,86,6.6,10.8,960,0,0
02/01/2022 09:00,4387.8,9.6,83,8.3,13.7,960.9,0,0
02/01/2022 10:00,4786.3,11.2,81,7.6,15.1,961.7,6,0
02/01/2022 11:00,5081.2,12.4,79,6.6,14.4,962.2,30,0
02/01/2022 12:00,5374.4,12.5,82,6.3,15.1,962.2,76,0
02/01/2022 13:00,5254,13.1,85,2.5,13,961.8,12,0
02/01/2022 14:00,5024.2,13.4,85,3.1,9.7,961.3,23,0
02/01/2022 15:00,4894.1,13.9,82,4,10.8,961.1,78,0
02/01/2022 16:00,4904,13.9,81,4.8,11.9,961.2,117,0
02/01/2022 17:00,5395.3,12.1,90,4.4,10.8,960.7,43,0
02/01/2022 18:00,5956.4,10.3,94,6.1,8.6,960.5,0,0
02/01/2022 19:00,6163.2,10.7,94,4.1,7.9,960.6,0,0
02/01/2022 20:00,6057.5,8.6,98,4.8,6.8,960.5,0,0
02/01/2022 21:00,5721,8.1,98,4.3,6.8,960.4,0,0
02/01/2022 22:00,5314,8.3,97,1.9,6.1,960.3,0,0
02/01/2022 23:00,4992.8,8.5,96,2.1,3.2,960.2,0,0
03/01/2022 00:00,4607.9,7.6,94,7.9,5.4,959.6,0,0
03/01/2022 01:00,4249.4,7.9,96,7.9,10.4,959.3,0,0
