,NAME
0,Evora
1,Alandroal
2,Arraiolos
3,Borba
4,Estremoz
5,Montemor-o-Novo
6,Mora
7,Mourao
8,Portel
9,Redondo
10,Reguengos de Monsaraz
11,Vendas Novas
12,Viana do Alentejo
13,Vila Vicosa
14,Agueda
15,Ilhavo
16,Albergaria-a-Velha
17,Anadia
18,Arouca
19,Aveiro
20,Castelo de Paiva
21,Espinho
22,Estarreja
23,Mealhada
24,Murtosa
25,Oliveira de Azemeis
26,Oliveira do Bairro
27,Ovar
28,Sao Joao da Madeira
29,Santa Maria da Feira
30,Sever do Vouga
31,Vagos
32,Vale de Cambra
33,Angra do Heroismo
34,Calheta
35,Corvo
36,Horta
37,Lagoa
38,Lajes das Flores
39,Lajes do Pico
40,Madalena
41,Nordeste
42,Ponta Delgada
43,Povoacao
44,Praia da Vitoria
45,Ribeira Grande
46,Sao Roque do Pico
47,Santa Cruz da Graciosa
48,Santa Cruz das Flores
49,Velas
50,Vila do Porto
51,Vila Franca do Campo
52,Aljustrel
53,Almodovar
54,Alvito
55,Barrancos
56,Beja
57,Castro Verde
58,Cuba
59,Ferreira do Alentejo
60,Mertola
61,Moura
62,Odemira
63,Ourique
64,Serpa
65,Vidigueira
66,Amares
67,Barcelos
68,Braga
69,Braga
70,Cabeceiras de Basto
71,Celorico de Basto
72,Esposende
73,Fafe
74,Povoa de Lanhoso
75,Terras de Bouro
76,Vieira do Minho
77,Vila Nova de Famalicao
78,Vila Verde
79,Vizela
80,Alfandega da Fe
81,Braganca
82,Carrazeda de Ansiaes
83,Freixo de Espada a Cinta
84,Macedo de Cavaleiros
85,Miranda do Douro
86,Mirandela
87,Mogadouro
88,Torre de Moncorvo
89,Vila Flor
90,Vimioso
91,Vinhais
92,Belmonte
93,Castelo Branco
94,Covilha
95,Fundao
96,Idanha-a-Nova
97,Oleiros
98,Penamacor
99,Proenca-a-Nova
100,Serta
101,Vila de Rei
102,Vila Velha de Rodao
103,Arganil
104,Cantanhede
105,Coimbra
106,Condeixa-a-Nova
107,Figueira da Foz
108,Gois
109,Lousa
110,Mira
111,Miranda do Corvo
112,Montemor-o-Velho
113,Oliveira do Hospital
114,Pampilhosa da Serra
115,Penacova
116,Penela
117,Soure
118,Tabua
119,Vila Nova de Poiares
120,Albufeira
121,Alcoutim
122,Alcoutim
123,Aljezur
124,Castro Marim
125,Faro
126,Lagoa
127,Lagos
128,Loule
129,Monchique
130,Olhao
131,Portimao
132,Sao Bras de Alportel
133,Silves
134,Vila do Bispo
135,Vila Real de Santo Antonio
136,Aguiar da Beira
137,Almeida
138,Celorico da Beira
139,Figueira de Castelo Rodrigo
140,Fornos de Algodres
141,Gouveia
142,Guarda
143,Meda
144,Manteigas
145,Pinhel
146,Sabugal
147,Seia
148,Trancoso
149,Vila Nova de Foz Coa
150,Obidos
151,Alcobaca
152,Alvaiazere
153,Ansiao
154,Batalha
155,Bombarral
156,Caldas da Rainha
157,Castanheira de Pera
158,Figueiro dos Vinhos
159,Leiria
160,Marinha Grande
161,Nazare
162,Pedrogao Grande
163,Peniche
164,Pombal
165,Porto de Mos
166,Alenquer
167,Amadora
168,Arruda dos Vinhos
169,Azambuja
170,Cadaval
171,Cascais
172,Lisboa
173,Loures
174,Lourinha
175,Mafra
176,Odivelas
177,Oeiras
178,Sintra
179,Sobral de Monte Agraco
180,Torres Vedras
181,Vila Franca de Xira
182,Camara de Lobos
183,Calheta
184,Funchal
185,Machico
186,Ponta do Sol
187,Porto Moniz
188,Porto Santo
189,Ribeira Brava
190,Sao Vicente
191,Santa Cruz
192,Santana
193,Alter do Chao
194,Arronches
195,Avis
